Node,Country,Region,Solar PV,Hydropower,Onshore wind,Offshore wind,Geothermal
BRNXX,Brunei,-,0.16,0,0.15,0.372,0
IDNJW,Indonesia,Jawa,40.8,4.95,0.82,11.52,10.27
IDNKA,Indonesia,Kalimantan,133.69,21.6,0.09,1.26,0.05
IDNML,Indonesia,Maluku,1.88,0.73,4.86,68.3,0.46
IDNNU,Indonesia,Nusa Tenggara,6.04,0.36,5.99,84.17,1.21
IDNPP,Indonesia,Papua,16.05,22.4,0.16,2.25,0.06
IDNSL,Indonesia,Sulawesi,15.5,10.3,6.54,91.91,1.9
IDNSM,Indonesia,Sumatera,150.72,15.6,1.25,17.58,12.54
KHMXX,Cambodia,-,123.03,10,125.31,0,0
LAOXX,Laos,-,39.46,20,54.89,0,0
MMRXX,Myanmar,-,240.91,39.71,324.8,0,0
MYSPE,Malaysia,Central,26.21,14.23,32.31,0,0
MYSSH,Malaysia,East,4.5,0.38,8.06,0,0
MYSSK,Malaysia,North,14.22,5.39,16.09,0,0
PHLLU,Philippines,Luzon,15.66,11.64,27.61,60,0.76
PHLMI,Philippines,Mindanao,18.56,4.86,37.72,60,0.82
PHLVI,Philippines,Visayas,8.49,0,17.1,60,2.42
SGPXX,Singapore,-,0.42,0,0.28,0,0
THACE,Thailand,Centre,70.79,3.95,76.48,0,0
THANO,Thailand,North,285.97,10.89,315,0,0
THASO,Thailand,South,26.48,0.31,35.81,0,0
VNMCE,Vietnam,Centre,37.44,16.45,44.94,0,0
VNMNO,Vietnam,North,18.44,16.16,24.19,0,0
VNMSO,Vietnam,South,54.18,2.39,54.89,261,0